condition,task,disturbance,episode,seed,success,disturbance_fired,recovered,steps,total_reward,trigger_step,final_can_x,final_can_y,final_can_z,training_seed,budget
recovery_bc,milk,action_delay,6,400033,False,True,False,260,5.813976101881412,5.0,-0.0356395617127418,-0.136940985918045,0.8742676377296448,27,1500
recovery_bc,milk,action_delay,7,400034,False,True,False,260,2.388353805831146,5.0,0.0931251794099807,-0.0880332067608833,0.8379336595535278,27,1500
recovery_bc,milk,gripper_slip,0,400027,False,True,False,260,24.74489789551342,48.0,0.0394413396716117,0.0075852205045521,0.9192514419555664,27,1500
recovery_bc,milk,gripper_slip,1,400028,True,True,True,114,30.441250836153408,54.0,-0.0228743720799684,0.1204684004187583,0.8980382680892944,27,1500
recovery_bc,milk,gripper_slip,2,400029,False,True,False,260,16.6763213126772,39.0,0.0474540889263153,-0.1237002313137054,0.8379343748092651,27,1500
recovery_bc,milk,gripper_slip,3,400030,False,True,False,260,13.348507175507146,56.0,0.230388268828392,-0.2668823599815368,0.8721390962600708,27,1500
recovery_bc,milk,gripper_slip,4,400031,True,True,True,107,29.763131007702285,45.0,-0.0080003375187516,0.1353688836097717,0.8937400579452515,27,1500
recovery_bc,milk,gripper_slip,5,400032,True,True,True,122,33.91385246256878,49.0,-0.0273462254554033,0.1571002155542373,0.8990724682807922,27,1500
recovery_bc,milk,gripper_slip,6,400033,True,True,True,135,52.06903481648684,37.0,0.054029457271099,0.193193033337593,0.8822218775749207,27,1500
recovery_bc,milk,gripper_slip,7,400034,False,True,False,260,19.62048790545616,73.0,0.1189239472150802,-0.1502798944711685,0.8375330567359924,27,1500
contrastive_recovery,milk,nominal,0,400027,False,False,False,260,36.64969479435973,,0.218603178858757,-0.3149017691612243,0.8376471400260925,27,1500
contrastive_recovery,milk,nominal,1,400028,True,False,False,256,107.98598321265794,,0.0790309682488441,0.2588276863098144,0.8898559212684631,27,1500
contrastive_recovery,milk,nominal,2,400029,False,False,False,260,59.1836747859793,,0.2668894529342651,-0.2800991237163543,0.8865928649902344,27,1500
contrastive_recovery,milk,nominal,3,400030,False,False,False,260,82.58579898807523,,0.0331183560192585,0.4867348670959472,0.8783180713653564,27,1500
contrastive_recovery,milk,nominal,4,400031,True,False,False,79,26.133477479057373,,0.0324573554098606,0.0969939455389976,0.899954617023468,27,1500
contrastive_recovery,milk,nominal,5,400032,True,False,False,157,55.491415696529366,,-0.0210409518331289,0.1399930566549301,0.8890773057937622,27,1500
contrastive_recovery,milk,nominal,6,400033,True,False,False,69,25.12837031856327,,0.0517015196382999,0.0931474566459655,0.8951331973075867,27,1500
contrastive_recovery,milk,nominal,7,400034,False,False,False,260,69.81314731331929,,0.2430302053689956,-0.1594734340906143,0.8808515667915344,27,1500
contrastive_recovery,milk,object_shift,0,400027,False,True,False,260,2.065872125070401,14.0,0.0088320942595601,-0.1057023704051971,0.8808525204658508,27,1500
contrastive_recovery,milk,object_shift,1,400028,False,True,False,260,63.51107926155946,14.0,0.2376506924629211,-0.2294108569622039,0.8808583617210388,27,1500
contrastive_recovery,milk,object_shift,2,400029,False,True,False,260,2.780590171482074,14.0,8.005317795323208e-05,-0.1301898509263992,0.0198344588279724,27,1500
contrastive_recovery,milk,object_shift,3,400030,False,True,False,260,62.60019190431311,14.0,0.1462664604187011,-0.2559150755405426,0.8378911018371582,27,1500
contrastive_recovery,milk,object_shift,4,400031,False,True,False,260,4.194391018747324,14.0,0.0071934605948626,-0.1853092312812805,0.8808580040931702,27,1500
contrastive_recovery,milk,object_shift,5,400032,False,True,False,260,105.8912107536992,14.0,0.0778136923909187,0.2507482469081878,0.8819721341133118,27,1500
contrastive_recovery,milk,object_shift,6,400033,False,True,False,260,4.518859930918667,14.0,0.1939720213413238,-0.0999381244182586,0.8378691077232361,27,1500
contrastive_recovery,milk,object_shift,7,400034,False,True,False,260,64.49050498374608,14.0,0.237694963812828,-0.2088585942983627,0.88084876537323,27,1500
contrastive_recovery,milk,action_noise,0,400027,True,True,True,139,48.85832482874682,8.0,-0.0293569583445787,0.2436924278736114,0.8986440300941467,27,1500
contrastive_recovery,milk,action_noise,1,400028,True,True,True,97,33.237700310220674,8.0,-0.0297710075974464,0.1393439024686813,0.8899526596069336,27,1500
contrastive_recovery,milk,action_noise,2,400029,False,True,False,260,13.033229567638225,8.0,0.0699302479624748,-0.1272016167640686,0.8379336595535278,27,1500
contrastive_recovery,milk,action_noise,3,400030,True,True,True,102,31.12772624544276,8.0,0.0189618300646543,0.1304038166999817,0.8883408904075623,27,1500
contrastive_recovery,milk,action_noise,4,400031,True,True,True,77,24.97831915874932,8.0,-0.0155612118542194,0.1163133606314659,0.8922622203826904,27,1500
contrastive_recovery,milk,action_noise,5,400032,True,True,True,100,33.580186688408006,8.0,-0.0123421791940927,0.1383775323629379,0.887985348701477,27,1500
contrastive_recovery,milk,action_noise,6,400033,True,True,True,108,38.44954837941437,8.0,-0.0173011571168899,0.1327456682920456,0.8929860591888428,27,1500
contrastive_recovery,milk,action_noise,7,400034,True,True,True,126,40.05817612489527,8.0,-0.0466141551733017,0.2471261471509933,0.8890061378479004,27,1500
contrastive_recovery,milk,action_delay,0,400027,False,True,False,260,9.243473424912308,3.0,0.1859412640333175,-0.0769394859671592,0.8378936052322388,27,1500
contrastive_recovery,milk,action_delay,1,400028,False,True,False,260,1.6607857785333715,5.0,0.0412322394549846,-0.2005335241556167,0.8379336595535278,27,1500
contrastive_recovery,milk,action_delay,2,400029,False,True,False,260,4.402762119665408,5.0,-0.0570087321102619,-0.1634524017572403,0.882734477519989,27,1500
contrastive_recovery,milk,action_delay,3,400030,True,True,True,118,34.21006678858234,3.0,-0.0296899396926164,0.2217612117528915,0.8920701146125793,27,1500
contrastive_recovery,milk,action_delay,4,400031,False,True,False,260,1.120486516456665,3.0,-7.81852868385613e-05,-0.1933892369270324,0.8379403948783875,27,1500
contrastive_recovery,milk,action_delay,5,400032,False,True,False,260,3.2052681102010805,3.0,0.228068321943283,-0.2494823634624481,0.8704038262367249,27,1500
contrastive_recovery,milk,action_delay,6,400033,False,True,False,260,3.2163125049146415,5.0,-0.0382796078920364,-0.1456595957279205,0.8756538033485413,27,1500
contrastive_recovery,milk,action_delay,7,400034,False,True,False,260,2.450448492008738,5.0,0.0906355008482933,-0.0888145193457603,0.8379336595535278,27,1500
contrastive_recovery,milk,gripper_slip,0,400027,False,False,False,260,36.64969479435973,,0.218603178858757,-0.3149017691612243,0.8376471400260925,27,1500
contrastive_recovery,milk,gripper_slip,1,400028,False,True,False,260,37.39728758848829,123.0,0.2398815304040908,-0.2027661502361297,0.8808536529541016,27,1500
contrastive_recovery,milk,gripper_slip,2,400029,False,False,False,260,59.1836747859793,,0.2668894529342651,-0.2800991237163543,0.8865928649902344,27,1500
contrastive_recovery,milk,gripper_slip,3,400030,False,True,False,260,33.91307357152342,124.0,0.2356555759906768,-0.216171309351921,0.8808634281158447,27,1500
contrastive_recovery,milk,gripper_slip,4,400031,False,True,False,260,14.625696063346776,46.0,-0.0382462628185749,-0.2090532928705215,0.87568598985672,27,1500
contrastive_recovery,milk,gripper_slip,5,400032,False,True,False,260,34.46024000819748,114.0,0.1928202211856842,-0.3360178172588348,0.8829728364944458,27,1500
contrastive_recovery,milk,gripper_slip,6,400033,False,True,False,260,12.021183859499464,38.0,0.156890869140625,-0.1186199784278869,0.0198343321681022,27,1500
contrastive_recovery,milk,gripper_slip,7,400034,False,False,False,260,69.81314731331929,,0.2430302053689956,-0.1594734340906143,0.8808515667915344,27,1500
more_demos,bread,nominal,0,400027,True,False,False,116,43.990083949176146,,0.1928333342075348,0.1518844068050384,0.8421939015388489,27,1500
more_demos,bread,nominal,1,400028,True,False,False,125,43.25654951581229,,0.1756405085325241,0.1591363847255706,0.8421670198440552,27,1500
more_demos,bread,nominal,2,400029,False,False,False,260,6.925172791325273,,0.092830590903759,-0.1016644090414047,0.8421903252601624,27,1500
more_demos,bread,nominal,3,400030,True,False,False,113,41.38808054978216,,0.1748716980218887,0.1513990610837936,0.8421720862388611,27,1500
more_demos,bread,nominal,4,400031,True,False,False,143,48.9518204775196,,0.1742096692323684,0.1476131975650787,0.8421670198440552,27,1500
more_demos,bread,nominal,5,400032,True,False,False,130,45.53913460544006,,0.188176542520523,0.137936070561409,0.842194676399231,27,1500
more_demos,bread,nominal,6,400033,True,False,False,135,48.33890761179449,,0.184430256485939,0.1560311317443847,0.8421855568885803,27,1500
more_demos,bread,nominal,7,400034,True,False,False,113,42.81145820543448,,0.1830302625894546,0.1459937542676925,0.8421645760536194,27,1500
more_demos,bread,object_shift,0,400027,True,True,True,122,46.26538089223798,14.0,0.1810143440961837,0.1499515920877456,0.8422077894210815,27,1500
