logging_scheme,logging_seed,method,pehe,mae,ate,true_ate,ate_error,helpful_auroc,helpful_average_precision,harmful_auroc,sign_accuracy
uncertainty_selective,503,t_learner,0.5218346714228703,0.42185974472749366,0.32115618907155846,0.4100197758734344,0.08886358680187595,0.7480590933318372,0.6792444736673684,0.8864210680199653,0.5298329355608592
uncertainty_selective,503,ipw_learner,0.84444150036834,0.6641553560555492,0.1059173892350989,0.4100197758734344,0.3041023866383355,0.6705350380116138,0.5498731229700432,0.7707954806507529,0.3665987780040733
uncertainty_selective,503,dr_learner,0.6170888602731309,0.4680296620016398,0.2971907019954059,0.4100197758734344,0.11282907387802849,0.7002719373299295,0.6377234977275649,0.7717143871520163,0.4197002141327623
uncertainty_selective,503,reversibility_proxy,0.5220460802987419,0.4000918146961994,0.48612741427588163,0.4100197758734344,0.07610763840244722,0.7516130389654109,0.6508169425171698,0.9001733391809201,0.5066765578635015
adaptive_value,101,paired_label_oracle,0.48751502971763566,0.3701745196734908,0.39269558088356676,0.4100197758734344,0.017324194989867647,0.7906100092574411,0.7453194576460487,0.8758745274941002,0.4935158501440922
adaptive_value,101,failure_risk,0.61401532758599,0.4491887404483632,0.18911234848370104,0.4100197758734344,0.22090742738973337,0.7060324150699918,0.6168101952451978,0.8936156882400852,0.586687306501548
adaptive_value,101,ensemble_uncertainty,0.6910911913853315,0.491390839394484,0.015100857434201038,0.4100197758734344,0.3949189184392334,0.703255182764328,0.6428695952710742,0.7711922811853894,0.7692307692307693
adaptive_value,101,s_learner,0.5465415333581876,0.4332351854086983,0.3701224535698748,0.4100197758734344,0.039897322303559635,0.7077103262546638,0.6019472453548731,0.7373076039512979,0.5358615004122012
adaptive_value,101,t_learner,0.5232532730741293,0.4077786183231507,0.43785843919120343,0.4100197758734344,0.02783866331776902,0.7332454343984066,0.6620473980557576,0.9120251446233527,0.5405831363278172
adaptive_value,101,ipw_learner,0.8402448685902013,0.6592035341637066,0.4113543774704243,0.4100197758734344,0.0013346015969898928,0.5336976112996886,0.459464548594021,0.6330795898335526,0.37669376693766937
adaptive_value,101,dr_learner,0.5769216924374851,0.44143274618250095,0.411945581364942,0.4100197758734344,0.001925805491507615,0.720107056694813,0.6337728290290392,0.8712695528684502,0.4596100278551532
adaptive_value,101,reversibility_proxy,0.5542913330934491,0.4110496176962956,0.5721230654631623,0.4100197758734344,0.16210328958972786,0.7202376777849469,0.6373669147779452,0.8637094584716914,0.4535266974291364
