logging_scheme,logging_seed,method,target_budget,episodes,success_rate,intervention_rate,matched_oracle_success_rate,regret_to_matched_oracle,request_precision,nominal_false_alarm_rate
adaptive_value,307,paired_label_oracle,0.1,240,0.6833333333333333,0.2708333333333333,0.7208333333333333,0.03749999999999998,0.8615384615384616,0.125
adaptive_value,307,paired_label_oracle,0.25,240,0.6833333333333333,0.2708333333333333,0.7208333333333333,0.03749999999999998,0.8615384615384616,0.125
adaptive_value,307,paired_label_oracle,0.5,240,0.9125,0.6958333333333333,0.9958333333333333,0.08333333333333337,0.6706586826347305,0.4583333333333333
adaptive_value,307,paired_label_oracle,0.75,240,0.975,0.9375,0.9958333333333333,0.02083333333333337,0.5644444444444444,0.875
adaptive_value,307,failure_risk,0.1,240,0.5208333333333334,0.10416666666666667,0.5541666666666667,0.033333333333333326,0.68,0.0625
adaptive_value,307,failure_risk,0.25,240,0.6041666666666666,0.24583333333333332,0.6958333333333333,0.09166666666666667,0.6271186440677966,0.14583333333333334
adaptive_value,307,failure_risk,0.5,240,0.7375,0.4583333333333333,0.9083333333333333,0.17083333333333328,0.6272727272727273,0.3541666666666667
adaptive_value,307,failure_risk,0.75,240,0.8666666666666667,0.7541666666666667,0.9958333333333333,0.12916666666666665,0.5524861878453039,0.6458333333333334
adaptive_value,307,ensemble_uncertainty,0.1,240,0.49166666666666664,0.04583333333333333,0.49583333333333335,0.004166666666666707,0.9090909090909091,0.020833333333333332
adaptive_value,307,ensemble_uncertainty,0.25,240,0.5833333333333334,0.19166666666666668,0.6416666666666667,0.05833333333333335,0.6956521739130435,0.041666666666666664
adaptive_value,307,ensemble_uncertainty,0.5,240,0.8166666666666667,0.5208333333333334,0.9708333333333333,0.15416666666666667,0.704,0.125
adaptive_value,307,ensemble_uncertainty,0.75,240,0.9,0.7375,0.9958333333333333,0.09583333333333333,0.6271186440677966,0.4166666666666667
adaptive_value,307,s_learner,0.1,240,0.475,0.075,0.525,0.050000000000000044,0.3333333333333333,0.08333333333333333
adaptive_value,307,s_learner,0.25,240,0.5916666666666667,0.2625,0.7125,0.12083333333333335,0.5396825396825397,0.3125
adaptive_value,307,s_learner,0.5,240,0.775,0.5958333333333333,0.9958333333333333,0.22083333333333333,0.5594405594405595,0.4583333333333333
adaptive_value,307,s_learner,0.75,240,0.8833333333333333,0.8041666666666667,0.9958333333333333,0.11250000000000004,0.5440414507772021,0.7916666666666666
adaptive_value,307,t_learner,0.1,240,0.5,0.06666666666666667,0.5166666666666667,0.01666666666666672,0.75,0.020833333333333332
adaptive_value,307,t_learner,0.25,240,0.5666666666666667,0.1875,0.6375,0.0708333333333333,0.6222222222222222,0.10416666666666667
adaptive_value,307,t_learner,0.5,240,0.7916666666666666,0.5416666666666666,0.9916666666666667,0.20000000000000007,0.6307692307692307,0.3541666666666667
adaptive_value,307,t_learner,0.75,240,0.925,0.7791666666666667,0.9958333333333333,0.0708333333333333,0.6096256684491979,0.625
adaptive_value,307,ipw_learner,0.1,240,0.8666666666666667,0.8541666666666666,0.9958333333333333,0.12916666666666665,0.4975609756097561,0.8125
adaptive_value,307,ipw_learner,0.25,240,0.8666666666666667,0.8541666666666666,0.9958333333333333,0.12916666666666665,0.4975609756097561,0.8125
adaptive_value,307,ipw_learner,0.5,240,0.8666666666666667,0.8541666666666666,0.9958333333333333,0.12916666666666665,0.4975609756097561,0.8125
adaptive_value,307,ipw_learner,0.75,240,0.8666666666666667,0.8541666666666666,0.9958333333333333,0.12916666666666665,0.4975609756097561,0.8125
