logging_scheme,method,target_budget,logging_seeds,success_mean,success_std,success_ci_low,success_ci_high,intervention_mean,precision_mean,regret_mean
adaptive_value,s_learner,0.75,5,0.8583333333333332,0.04630439743936012,0.8233333333333333,0.8941666666666667,0.75,0.5555555555555556,0.13750000000000004
adaptive_value,t_learner,0.1,5,0.5225,0.014006446928309683,0.5116666666666665,0.5325,0.1,0.7333333333333333,0.02750000000000006
adaptive_value,t_learner,0.25,5,0.6224999999999999,0.019002923751652318,0.6075,0.6366666666666666,0.25,0.6900000000000001,0.07749999999999997
adaptive_value,t_learner,0.5,5,0.7691666666666667,0.0391533665361117,0.7383333333333334,0.7991666666666667,0.5,0.6383333333333334,0.18083333333333326
adaptive_value,t_learner,0.75,5,0.9075,0.040760990337985324,0.8758333333333332,0.9391666666666667,0.75,0.6122222222222223,0.08833333333333333
adaptive_value,ipw_learner,0.1,5,0.495,0.0054326686710022155,0.49083333333333334,0.4991666666666667,0.1,0.4583333333333333,0.05500000000000005
adaptive_value,ipw_learner,0.25,5,0.575,0.009316949906249141,0.5675,0.5825,0.25,0.51,0.12499999999999996
adaptive_value,ipw_learner,0.5,5,0.7050000000000001,0.011562030771259679,0.6983333333333333,0.7150000000000001,0.5,0.5216666666666666,0.24499999999999997
adaptive_value,ipw_learner,0.75,5,0.8091666666666667,0.009501461875826116,0.8016666666666665,0.8166666666666667,0.75,0.49000000000000005,0.18666666666666668
adaptive_value,dr_learner,0.1,5,0.5033333333333333,0.013307266185559432,0.49333333333333335,0.5133333333333334,0.1,0.5416666666666667,0.04666666666666671
adaptive_value,dr_learner,0.25,5,0.6074999999999999,0.0103749163316573,0.6,0.6158333333333333,0.25,0.6333333333333334,0.09249999999999996
adaptive_value,dr_learner,0.5,5,0.7583333333333333,0.022630792690000456,0.74,0.7758333333333333,0.5,0.6216666666666667,0.19166666666666662
adaptive_value,dr_learner,0.75,5,0.8983333333333334,0.021368135674930153,0.8841666666666665,0.9166666666666666,0.75,0.6055555555555556,0.0975
adaptive_value,reversibility_proxy,0.1,5,0.5233333333333333,0.01782437469683951,0.5091666666666667,0.5358333333333333,0.1,0.7333333333333333,0.026666666666666707
adaptive_value,reversibility_proxy,0.25,5,0.6208333333333333,0.02810570325673342,0.5966666666666667,0.6408333333333334,0.25,0.6833333333333333,0.07916666666666661
adaptive_value,reversibility_proxy,0.5,5,0.7775000000000001,0.02578624741127632,0.7558333333333334,0.7966666666666666,0.5,0.655,0.17249999999999993
adaptive_value,reversibility_proxy,0.75,5,0.9016666666666667,0.036395779669870766,0.8758333333333332,0.9325000000000001,0.75,0.6033333333333333,0.09416666666666666
