logging_scheme,delay_candidate_hops,method,target_budget,logging_seeds,success_mean,success_std,intervention_mean,precision_mean
randomized,1,dr_learner,0.75,5,0.8066666666666666,0.03675179511866659,0.75,0.5033333333333333
randomized,1,reversibility_proxy,0.1,5,0.4916666666666667,0.008838834764831842,0.1,0.4166666666666667
randomized,1,reversibility_proxy,0.25,5,0.5708333333333334,0.009771699499632193,0.25,0.49000000000000005
randomized,1,reversibility_proxy,0.5,5,0.7366666666666666,0.018493617517643477,0.5,0.5833333333333333
randomized,1,reversibility_proxy,0.75,5,0.8291666666666666,0.029315098498896415,0.75,0.5311111111111111
randomized,2,paired_label_oracle,0.1,5,0.5083333333333333,0.0,0.1,0.625
randomized,2,paired_label_oracle,0.25,5,0.6,0.0,0.25,0.6333333333333333
randomized,2,paired_label_oracle,0.5,5,0.7333333333333333,0.0,0.5,0.575
randomized,2,paired_label_oracle,0.75,5,0.7833333333333333,0.0,0.75,0.49444444444444446
randomized,2,t_learner,0.1,5,0.4925,0.01650967729679912,0.1,0.4583333333333333
randomized,2,t_learner,0.25,5,0.5566666666666666,0.021969043877440135,0.25,0.48
randomized,2,t_learner,0.5,5,0.6599999999999999,0.019454362549881265,0.5,0.48999999999999994
randomized,2,t_learner,0.75,5,0.7408333333333333,0.03402919498182571,0.75,0.45444444444444443
randomized,2,dr_learner,0.1,5,0.485,0.007569125885243741,0.1,0.41666666666666663
randomized,2,dr_learner,0.25,5,0.5558333333333334,0.011257713405088573,0.25,0.47000000000000003
randomized,2,dr_learner,0.5,5,0.6566666666666666,0.01682219103182196,0.5,0.47000000000000003
randomized,2,dr_learner,0.75,5,0.7291666666666666,0.014731391274719705,0.75,0.4444444444444445
randomized,2,reversibility_proxy,0.1,5,0.4758333333333333,0.0034860834438919974,0.1,0.25833333333333336
randomized,2,reversibility_proxy,0.25,5,0.5258333333333333,0.010785149254620664,0.25,0.31333333333333335
randomized,2,reversibility_proxy,0.5,5,0.6766666666666666,0.020957960566598793,0.5,0.475
randomized,2,reversibility_proxy,0.75,5,0.7474999999999999,0.024044230077089213,0.75,0.47333333333333333
