logging_scheme,logging_seed,logged_episodes,target_budget,success_rate,intervention_rate,request_precision,pehe,helpful_auroc
randomized,211,120,0.5,0.7333333333333333,0.5,0.575,0.602967460545539,0.6908225096081017
randomized,211,120,0.75,0.8791666666666667,0.75,0.5833333333333334,0.602967460545539,0.6908225096081017
randomized,211,180,0.1,0.4875,0.1,0.375,0.6429019055186044,0.6915781832973322
randomized,211,180,0.25,0.6083333333333333,0.25,0.6333333333333333,0.6429019055186044,0.6915781832973322
randomized,211,180,0.5,0.7416666666666667,0.5,0.5916666666666667,0.6429019055186044,0.6915781832973322
randomized,211,180,0.75,0.9041666666666667,0.75,0.6055555555555555,0.6429019055186044,0.6915781832973322
randomized,211,240,0.1,0.5083333333333333,0.1,0.5833333333333334,0.6159633917218226,0.6927265969085757
randomized,211,240,0.25,0.6041666666666666,0.25,0.6166666666666667,0.6159633917218226,0.6927265969085757
randomized,211,240,0.5,0.7625,0.5,0.625,0.6159633917218226,0.6927265969085757
randomized,211,240,0.75,0.9166666666666666,0.75,0.6222222222222222,0.6159633917218226,0.6927265969085757
randomized,307,60,0.1,0.5,0.1,0.5,0.7254128962581904,0.5674145089348333
randomized,307,60,0.25,0.5541666666666667,0.25,0.45,0.7254128962581904,0.5674145089348333
randomized,307,60,0.5,0.6875,0.5,0.49166666666666664,0.7254128962581904,0.5674145089348333
randomized,307,60,0.75,0.8625,0.75,0.5611111111111111,0.7254128962581904,0.5674145089348333
randomized,307,120,0.1,0.5041666666666667,0.1,0.5416666666666666,0.6724313709463436,0.6031135158638876
randomized,307,120,0.25,0.5791666666666667,0.25,0.5333333333333333,0.6724313709463436,0.6031135158638876
randomized,307,120,0.5,0.7166666666666667,0.5,0.55,0.6724313709463436,0.6031135158638876
randomized,307,120,0.75,0.8541666666666666,0.75,0.5611111111111111,0.6724313709463436,0.6031135158638876
randomized,307,180,0.1,0.5166666666666667,0.1,0.6666666666666666,0.6474040032913582,0.6460466518921648
randomized,307,180,0.25,0.6208333333333333,0.25,0.6833333333333333,0.6474040032913582,0.6460466518921648
randomized,307,180,0.5,0.7541666666666667,0.5,0.625,0.6474040032913582,0.6460466518921648
randomized,307,180,0.75,0.8791666666666667,0.75,0.5888888888888889,0.6474040032913582,0.6460466518921648
randomized,307,240,0.1,0.5,0.1,0.5,0.6014971778655561,0.6584477655903722
randomized,307,240,0.25,0.6041666666666666,0.25,0.6166666666666667,0.6014971778655561,0.6584477655903722
randomized,307,240,0.5,0.7625,0.5,0.625,0.6014971778655561,0.6584477655903722
randomized,307,240,0.75,0.875,0.75,0.5777777777777777,0.6014971778655561,0.6584477655903722
randomized,401,60,0.1,0.5,0.1,0.5,0.6352691648187598,0.6663463966112155
randomized,401,60,0.25,0.6041666666666666,0.25,0.6166666666666667,0.6352691648187598,0.6663463966112155
randomized,401,60,0.5,0.7291666666666666,0.5,0.5583333333333333,0.6352691648187598,0.6663463966112155
