held_out_axis,held_out_value,logging_seed,method,target_budget,success_rate,intervention_rate,request_precision,pehe,helpful_auroc
task,cereal,101,reversibility_proxy,0.1,0.55,0.1,0.5,0.46107346036699837,0.8061385384949978
task,cereal,101,reversibility_proxy,0.25,0.6833333333333333,0.25,0.7333333333333333,0.46107346036699837,0.8061385384949978
task,cereal,101,reversibility_proxy,0.5,0.8333333333333334,0.5,0.6666666666666666,0.46107346036699837,0.8061385384949978
task,cereal,101,reversibility_proxy,0.75,0.9833333333333333,0.75,0.6444444444444445,0.46107346036699837,0.8061385384949978
task,cereal,211,dr_learner,0.1,0.5166666666666667,0.1,0.16666666666666666,0.6390464144709005,0.5592105263157895
task,cereal,211,dr_learner,0.25,0.6,0.25,0.4,0.6390464144709005,0.5592105263157895
task,cereal,211,dr_learner,0.5,0.7166666666666667,0.5,0.43333333333333335,0.6390464144709005,0.5592105263157895
task,cereal,211,dr_learner,0.75,0.8333333333333334,0.75,0.4666666666666667,0.6390464144709005,0.5592105263157895
task,cereal,211,reversibility_proxy,0.1,0.5833333333333334,0.1,0.8333333333333334,0.4902171128535701,0.7573129621574598
task,cereal,211,reversibility_proxy,0.25,0.7,0.25,0.8,0.4902171128535701,0.7573129621574598
task,cereal,211,reversibility_proxy,0.5,0.8166666666666667,0.5,0.6333333333333333,0.4902171128535701,0.7573129621574598
task,cereal,211,reversibility_proxy,0.75,0.9666666666666667,0.75,0.6222222222222222,0.4902171128535701,0.7573129621574598
task,cereal,307,dr_learner,0.1,0.5666666666666667,0.1,0.6666666666666666,0.6925181613389744,0.6849173553719008
task,cereal,307,dr_learner,0.25,0.6666666666666666,0.25,0.6666666666666666,0.6925181613389744,0.6849173553719008
task,cereal,307,dr_learner,0.5,0.7833333333333333,0.5,0.5666666666666667,0.6925181613389744,0.6849173553719008
task,cereal,307,dr_learner,0.75,0.9333333333333333,0.75,0.5777777777777777,0.6925181613389744,0.6849173553719008
task,cereal,307,reversibility_proxy,0.1,0.5333333333333333,0.1,0.3333333333333333,0.4909028565097433,0.7668823401478904
task,cereal,307,reversibility_proxy,0.25,0.6333333333333333,0.25,0.5333333333333333,0.4909028565097433,0.7668823401478904
task,cereal,307,reversibility_proxy,0.5,0.8,0.5,0.6,0.4909028565097433,0.7668823401478904
task,cereal,307,reversibility_proxy,0.75,1.0,0.75,0.6666666666666666,0.4909028565097433,0.7668823401478904
task,milk,101,dr_learner,0.1,0.6,0.1,0.16666666666666666,0.6951969581604661,0.6583278472679395
task,milk,101,dr_learner,0.25,0.7166666666666667,0.25,0.5333333333333333,0.6951969581604661,0.6583278472679395
task,milk,101,dr_learner,0.5,0.7833333333333333,0.5,0.4,0.6951969581604661,0.6583278472679395
task,milk,101,dr_learner,0.75,0.9,0.75,0.4222222222222222,0.6951969581604661,0.6583278472679395
task,milk,101,reversibility_proxy,0.1,0.65,0.1,0.5,0.5534862312143318,0.7151086240947993
task,milk,101,reversibility_proxy,0.25,0.7166666666666667,0.25,0.4666666666666667,0.5534862312143318,0.7151086240947993
task,milk,101,reversibility_proxy,0.5,0.8666666666666667,0.5,0.5333333333333333,0.5534862312143318,0.7151086240947993
task,milk,101,reversibility_proxy,0.75,0.85,0.75,0.4444444444444444,0.5534862312143318,0.7151086240947993
task,milk,211,dr_learner,0.1,0.65,0.1,0.5,0.6195737392363108,0.5703176431863067
task,milk,211,dr_learner,0.25,0.6833333333333333,0.25,0.4,0.6195737392363108,0.5703176431863067
task,milk,211,dr_learner,0.5,0.8,0.5,0.43333333333333335,0.6195737392363108,0.5703176431863067
task,milk,211,dr_learner,0.75,0.7666666666666667,0.75,0.3111111111111111,0.6195737392363108,0.5703176431863067
task,milk,211,reversibility_proxy,0.1,0.6833333333333333,0.1,0.8333333333333334,0.511594741972447,0.7684331797235023
task,milk,211,reversibility_proxy,0.25,0.7333333333333333,0.25,0.5333333333333333,0.511594741972447,0.7684331797235023
task,milk,211,reversibility_proxy,0.5,0.95,0.5,0.7,0.511594741972447,0.7684331797235023
task,milk,211,reversibility_proxy,0.75,0.9666666666666667,0.75,0.5111111111111111,0.511594741972447,0.7684331797235023
task,milk,307,dr_learner,0.1,0.65,0.1,0.5,0.8092191040384058,0.5292955892034233
task,milk,307,dr_learner,0.25,0.7166666666666667,0.25,0.4666666666666667,0.8092191040384058,0.5292955892034233
task,milk,307,dr_learner,0.5,0.8166666666666667,0.5,0.43333333333333335,0.8092191040384058,0.5292955892034233
task,milk,307,dr_learner,0.75,0.85,0.75,0.35555555555555557,0.8092191040384058,0.5292955892034233
task,milk,307,reversibility_proxy,0.1,0.6666666666666666,0.1,0.6666666666666666,0.5527042825923166,0.6880760368663594
task,milk,307,reversibility_proxy,0.25,0.7,0.25,0.4,0.5527042825923166,0.6880760368663594
task,milk,307,reversibility_proxy,0.5,0.9,0.5,0.6,0.5527042825923166,0.6880760368663594
task,milk,307,reversibility_proxy,0.75,0.9666666666666667,0.75,0.4888888888888889,0.5527042825923166,0.6880760368663594
disturbance,action_delay,101,dr_learner,0.1,0.1875,0.10416666666666667,0.6,0.6622873647620148,0.4838396771815466
disturbance,action_delay,101,dr_learner,0.25,0.2916666666666667,0.25,0.6666666666666666,0.6622873647620148,0.4838396771815466
disturbance,action_delay,101,dr_learner,0.5,0.4375,0.5,0.625,0.6622873647620148,0.4838396771815466
disturbance,action_delay,101,dr_learner,0.75,0.6041666666666666,0.75,0.6388888888888888,0.6622873647620148,0.4838396771815466
disturbance,action_delay,101,reversibility_proxy,0.1,0.14583333333333334,0.10416666666666667,0.2,0.5859392395912386,0.5018818143017887
disturbance,action_delay,101,reversibility_proxy,0.25,0.20833333333333334,0.25,0.3333333333333333,0.5859392395912386,0.5018818143017887
disturbance,action_delay,101,reversibility_proxy,0.5,0.4375,0.5,0.625,0.5859392395912386,0.5018818143017887
disturbance,action_delay,101,reversibility_proxy,0.75,0.6041666666666666,0.75,0.6388888888888888,0.5859392395912386,0.5018818143017887
disturbance,action_delay,211,dr_learner,0.1,0.1875,0.10416666666666667,0.6,0.6794557526327033,0.5507701858534125
disturbance,action_delay,211,dr_learner,0.25,0.2916666666666667,0.25,0.6666666666666666,0.6794557526327033,0.5507701858534125
disturbance,action_delay,211,dr_learner,0.5,0.5,0.5,0.75,0.6794557526327033,0.5507701858534125
disturbance,action_delay,211,dr_learner,0.75,0.7291666666666666,0.75,0.8055555555555556,0.6794557526327033,0.5507701858534125
