logging_scheme,method,cost,logging_seeds,success_mean,intervention_mean,utility_mean,utility_std
uncertainty_selective,paired_label_oracle,0.5,5,0.9333333333333333,0.8041666666666668,0.53125,0.0
uncertainty_selective,s_learner,0.05,5,0.975,0.9883333333333333,0.9255833333333333,0.008397409901603923
uncertainty_selective,s_learner,0.1,5,0.9633333333333333,0.9724999999999999,0.8660833333333333,0.01526558857183186
uncertainty_selective,s_learner,0.25,5,0.9516666666666665,0.9183333333333333,0.7220833333333333,0.007003223464154882
uncertainty_selective,s_learner,0.5,5,0.9099999999999999,0.8166666666666667,0.5016666666666667,0.012272230395852632
uncertainty_selective,t_learner,0.05,5,0.9816666666666667,0.9966666666666667,0.9318333333333333,0.002245752163035314
uncertainty_selective,t_learner,0.1,5,0.9791666666666666,0.9833333333333334,0.8808333333333334,0.004439015781804664
uncertainty_selective,t_learner,0.25,5,0.9558333333333333,0.9216666666666666,0.7254166666666666,0.007850601533923625
uncertainty_selective,t_learner,0.5,5,0.9225,0.805,0.52,0.030175988430833207
uncertainty_selective,ipw_learner,0.05,5,0.9724999999999999,0.9841666666666666,0.9232916666666666,0.008628119403696578
uncertainty_selective,ipw_learner,0.1,5,0.9683333333333334,0.9783333333333333,0.8705,0.010451608063408748
uncertainty_selective,ipw_learner,0.25,5,0.9574999999999999,0.9633333333333333,0.7166666666666667,0.007725206757391303
uncertainty_selective,ipw_learner,0.5,5,0.93,0.9316666666666666,0.46416666666666667,0.01636444740554624
uncertainty_selective,dr_learner,0.05,5,0.97,0.9925,0.9203749999999999,0.010383697826668283
uncertainty_selective,dr_learner,0.1,5,0.9708333333333334,0.985,0.8723333333333333,0.011069540289561386
uncertainty_selective,dr_learner,0.25,5,0.9583333333333334,0.96,0.7183333333333334,0.01927224093958288
uncertainty_selective,dr_learner,0.5,5,0.9258333333333333,0.8516666666666668,0.5,0.02219507890902344
